Origin,Month,origin_temp_c,origin_dewpt_c,origin_slp_hpa,origin_wind_ms,origin_precip_mm
ABE,1,1.7,-4.4,1017.2,3.1,0.0
ABE,2,1.7,-5.6,1017.1,3.1,0.0
ABE,3,6.1,-3.3,1015.5,3.6,0.0
ABE,4,11.7,2.8,1016.4,3.6,0.0
ABE,5,16.7,8.3,1014.9,2.6,0.0
ABE,6,21.95,14.4,1014.05,3.1,0.0
ABE,7,25.6,18.9,1014.7,2.1,0.0
ABE,8,22.8,16.7,1015.0,2.6,0.0
ABE,9,18.9,12.8,1017.9,2.6,0.0
ABE,10,13.9,6.1,1017.7,2.6,0.0
ABE,11,7.2,-0.6,1018.6,2.6,0.0
ABE,12,2.8,-3.3,1021.3,3.1,0.0
ABI,1,7.2,-2.2,1020.45,4.1,0.0
ABI,2,11.1,1.1,1016.6,4.6,0.0
ABI,3,15.6,4.15,1012.9,5.1,0.0
ABI,4,20.0,8.3,1011.9,5.7,0.0
ABI,5,22.8,16.1,1010.1,4.6,0.0
ABI,6,27.8,20.0,1010.8,5.1,0.0
ABI,7,28.9,18.9,1014.1,4.1,0.0
ABI,8,31.1,16.7,1013.6,3.6,0.0
ABI,9,26.7,17.2,1013.0,3.6,0.0
ABI,10,21.1,11.7,1016.6,4.1,0.0
ABI,11,15.0,7.2,1017.5,4.1,0.0
ABI,12,11.1,1.1,1020.0999999999999,3.6,0.0
ABQ,1,2.8,-7.8,1018.9,2.6,0.0
ABQ,2,7.2,-7.8,1017.2,3.1,0.0
ABQ,3,9.4,-6.1,1012.6,3.6,0.0
ABQ,4,15.6,-6.7,1011.6,3.6,0.0
ABQ,5,20.6,-2.2,1009.6,3.1,0.0
ABQ,6,26.0,3.9,1009.7,3.1,0.0
ABQ,7,27.8,9.4,1012.6,2.6,0.0
ABQ,8,27.8,10.6,1014.4,3.1,0.0
ABQ,9,23.3,5.6,1013.6,2.6,0.0
ABQ,10,18.3,0.0,1016.2,2.6,0.0
ABQ,11,7.8,-3.3,1018.8,2.6,0.0
ABQ,12,6.1,-6.7,1021.9,2.1,0.0
ABR,1,-8.9,-11.7,1020.5,4.1,0.0
ABR,2,-6.1,-8.9,1017.0,4.1,0.0
ABR,3,-2.5,-7.2,1015.7,5.1,0.0
ABR,4,5.6,-1.1,1014.75,5.1,0.0
ABR,5,14.7,6.1,1012.9,4.6,0.0
ABR,6,19.4,13.3,1010.8,4.1,0.0
ABR,7,21.7,15.6,1013.45,3.1,0.0
ABR,8,21.7,16.1,1014.7,3.6,0.0
ABR,9,20.3,11.95,1013.9,3.6,0.0
ABR,10,10.6,2.8,1016.2,4.6,0.0
ABR,11,2.2,-3.3,1017.0,3.6,0.0
ABR,12,-1.7,-5.0,1018.45,4.1,0.0
ABY,1,,,,,
ABY,2,,,,,
ABY,3,,,,,
ABY,4,,,,,
ABY,5,,,,,
ABY,6,,,,,
ABY,7,,,,,
ABY,8,,,,,
ABY,9,,,,,
ABY,10,,,,,
ABY,11,,,,,
ABY,12,,,,,
ACK,5,,,,,
ACK,6,,,,,
ACK,7,,,,,
ACK,8,,,,,
ACK,9,,,,,
ACK,10,,,,,
ACT,1,7.8,1.1,1021.4,3.6,0.0
ACT,2,11.7,5.6,1018.2,4.6,0.0
ACT,3,17.2,11.399999999999999,1014.3,4.6,0.0
ACT,4,20.0,14.4,1013.5,4.6,0.0
ACT,5,23.9,18.9,1011.8,3.6,0.0
ACT,6,28.05,22.2,1011.6500000000001,4.6,0.0
ACT,7,28.6,21.7,1015.1,4.1,0.0
ACT,8,31.1,20.0,1013.9,4.1,0.0
ACT,9,26.7,20.0,1013.0,3.6,0.0
ACT,10,22.2,13.3,1016.55,3.8499999999999996,0.0
ACT,11,15.6,9.4,1018.2,3.1,0.0
ACT,12,11.7,4.4,1021.3,3.1,0.0
ACV,1,,,,,
ACV,2,,,,,
ACV,3,,,,,
ACV,4,,,,,
ACV,5,,,,,
ACV,6,,,,,
ACV,7,,,,,
ACV,8,,,,,
ACV,9,,,,,
ACV,10,,,,,
ACV,11,,,,,
ACV,12,,,,,
ACY,1,,,,,
ACY,2,,,,,
ACY,3,,,,,
ACY,4,,,,,
ACY,5,,,,,
ACY,6,,,,,
ACY,7,,,,,
ACY,8,,,,,
ACY,9,,,,,
ACY,10,,,,,
ACY,11,,,,,
ACY,12,,,,,
ADK,1,2.2,0.0,999.2,8.2,0.0
ADK,2,2.2,-0.8500000000000001,997.6500000000001,5.7,0.0
ADK,3,3.3,0.0,1010.3,5.95,0.0
ADK,4,4.4,0.3,1014.5999999999999,6.7,0.0
ADK,5,5.6,2.2,1012.5,6.7,0.0
ADK,6,7.2,5.0,1007.75,5.1,0.0
ADK,7,11.7,9.4,1016.3,6.2,0.0
ADK,8,11.649999999999999,8.9,1012.35,6.2,0.0
ADK,9,10.6,7.8,1016.3,6.7,0.0
ADK,10,7.8,5.0,1010.7,7.2,0.0
ADK,11,5.6,3.3,1004.2,6.2,0.0
ADK,12,2.2,-1.7,998.95,6.7,0.0
ADQ,1,2.2,0.0,1002.8,4.1,0.0
ADQ,2,2.2,-1.1,1004.3,4.6,0.0
ADQ,3,1.7,-2.8,1002.5,4.6,0.0
ADQ,4,3.9,-0.6,1008.05,4.6,0.0
ADQ,5,6.7,3.9,1008.4,4.1,0.0
ADQ,6,9.4,7.2,1013.7,4.1,0.0
ADQ,7,11.7,10.0,1016.3499999999999,3.1,0.0
ADQ,8,12.2,10.0,1012.8499999999999,3.1,0.0
ADQ,9,10.0,5.6,1005.2,3.1,0.0
ADQ,10,7.2,1.7,1004.95,4.6,0.0
ADQ,11,3.9,-3.3,1000.05,4.6,0.0
ADQ,12,2.2,-0.6,994.9,3.6,0.0
AEX,1,,,,,
AEX,2,,,,,
AEX,3,,,,,
AEX,4,,,,,
AEX,5,,,,,
AEX,6,,,,,
AEX,7,,,,,
AEX,8,,,,,
AEX,9,,,,,
AEX,10,,,,,
AEX,11,,,,,
AEX,12,,,,,
AGS,1,9.4,0.6,1020.0,2.6,0.0
AGS,2,12.8,4.15,1019.45,2.6,0.0
AGS,3,15.0,6.7,1016.7,3.1,0.0
AGS,4,20.0,11.1,1018.0,3.1,0.0
AGS,5,21.7,16.7,1014.4,2.6,0.0
AGS,6,25.6,19.4,1013.1,2.1,0.0
AGS,7,27.8,22.2,1015.9,2.1,0.0
AGS,8,26.7,21.7,1014.8,2.1,0.0
AGS,9,23.9,17.8,1015.5,2.6,0.0
AGS,10,18.9,12.8,1018.7,2.1,0.0
AGS,11,13.9,8.3,1018.7,2.1,0.0
AGS,12,10.6,1.7,1022.4,2.1,0.0
AKN,4,6.1,-1.1,1009.1,4.35,0.0
AKN,5,8.3,2.2,1007.7,5.1,0.0
AKN,6,13.9,6.1,1010.7,5.1,0.0
AKN,7,15.6,10.6,1013.5,4.6,0.0
AKN,8,14.4,10.6,1011.7,5.1,0.0
AKN,9,10.0,6.1,1004.8,5.1,0.0
ALB,1,0.0,-5.6,1016.0,3.6,0.0
ALB,2,0.0,-7.2,1016.8,4.1,0.0
ALB,3,3.9,-3.9,1015.5,4.1,0.0
ALB,4,10.0,1.1,1017.0,3.6,0.0
ALB,5,16.7,8.3,1014.7,3.1,0.0
ALB,6,21.7,13.9,1014.1,3.1,0.0
ALB,7,25.6,18.9,1014.7,2.6,0.0
ALB,8,22.2,16.1,1015.0,2.6,0.0
ALB,9,19.4,12.8,1018.5,2.1,0.0
ALB,10,13.9,6.7,1018.2,2.6,0.0
ALB,11,5.6,-1.7,1016.9,3.6,0.0
ALB,12,1.7,-3.3,1020.5,2.6,0.0
ALO,1,-3.05,-5.6,1019.1,4.35,0.0
ALO,2,1.1,-5.0,1015.4,5.95,0.0
ALO,6,22.8,18.3,1012.6,4.1,0.0
ALO,7,22.8,20.0,1014.8499999999999,3.1,0.0
ALW,1,,,,,
ALW,2,,,,,
ALW,3,,,,,
ALW,4,,,,,
ALW,5,,,,,
ALW,6,,,,,
ALW,7,,,,,
ALW,8,,,,,
ALW,9,,,,,
ALW,10,,,,,
ALW,11,,,,,
ALW,12,,,,,
AMA,1,2.2,-6.7,1019.2,5.1,0.0
AMA,2,7.2,-6.1,1015.6,6.2,0.0
AMA,3,11.1,-3.3,1011.4,6.2,0.0
AMA,4,15.0,0.0,1012.5,6.7,0.0
AMA,5,20.0,9.4,1010.6,5.7,0.0
AMA,6,25.6,15.6,1010.4,5.7,0.0
AMA,7,28.3,15.6,1013.1,5.7,0.0
AMA,8,30.6,13.3,1013.1,5.1,0.0
AMA,9,25.6,10.0,1013.0,5.1,0.0
AMA,10,19.4,3.3,1015.8,5.7,0.0
AMA,11,10.6,0.0,1016.7,5.1,0.0
AMA,12,7.2,-3.9,1018.9,5.1,0.0
ANC,1,-5.0,-7.8,1005.1,2.1,0.0
ANC,2,-5.0,-7.8,1007.2,2.1,0.0
ANC,3,-1.7,-6.1,1005.7,2.1,0.0
ANC,4,2.8,-2.8,1008.8,2.1,0.0
ANC,5,8.9,2.2,1009.7,2.6,0.0
